"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2022","15,137.2","15,261.4","15,360.3","15,135.3","102.56K","-0.79%"
"08/01/2022","15,258.1","15,155.8","15,283.0","15,136.6","84.71K","0.69%"
"07/29/2022","15,153.3","15,228.2","15,238.6","15,048.3","81.99K","-0.44%"
"07/28/2022","15,219.6","15,309.2","15,335.5","15,102.0","106.82K","-0.61%"
"07/27/2022","15,313.2","15,171.7","15,344.5","15,121.2","76.31K","0.97%"
"07/26/2022","15,165.9","15,327.4","15,374.7","15,157.5","79.32K","-1.04%"
"07/25/2022","15,324.9","15,335.9","15,385.2","15,266.0","77.55K","-0.04%"
"07/22/2022","15,330.3","15,377.5","15,401.9","15,214.0","73.58K","-0.28%"
"07/21/2022","15,372.7","15,254.3","15,451.9","15,250.5","105.56K","0.80%"
"07/20/2022","15,250.2","15,316.0","15,398.2","15,219.8","92.96K","-0.39%"
"07/19/2022","15,310.4","15,196.3","15,381.1","15,162.6","80.35K","0.76%"
"07/18/2022","15,194.7","15,119.9","15,286.9","15,108.2","75.03K","0.49%"
"07/15/2022","15,120.4","15,019.5","15,140.2","14,993.7","77.81K","0.71%"
"07/14/2022","15,014.0","15,078.9","15,084.9","14,919.8","89.71K","-0.40%"
"07/13/2022","15,074.9","15,044.5","15,171.8","14,984.5","82.67K","0.23%"
"07/12/2022","15,040.4","15,032.4","15,099.2","14,978.5","87.90K","0.08%"
"07/11/2022","15,028.4","15,236.8","15,253.3","15,022.7","77.52K","-1.45%"
"07/08/2022","15,249.0","15,235.2","15,284.7","15,088.6","90.66K","0.10%"
"07/07/2022","15,233.4","15,269.2","15,323.7","15,211.2","87.03K","-0.20%"
"07/06/2022","15,263.4","15,389.2","15,433.9","15,239.2","96.08K","-0.78%"
"07/05/2022","15,383.6","15,594.6","15,661.2","15,339.0","85.30K","-1.36%"
"07/04/2022","15,595.0","15,570.8","15,661.2","15,561.1","68.94K","0.13%"
"07/01/2022","15,574.2","15,614.1","15,668.0","15,484.2","68.24K","-0.25%"
"06/30/2022","15,612.9","15,504.4","15,626.0","15,466.6","84.06K","0.72%"
"06/29/2022","15,500.9","15,605.6","15,647.9","15,494.7","90.64K","-0.66%"
"06/28/2022","15,603.5","15,668.4","15,726.2","15,583.3","93.15K","-0.38%"
"06/27/2022","15,662.8","15,671.5","15,713.6","15,613.1","87.00K","-0.03%"
"06/24/2022","15,667.4","15,619.4","15,696.8","15,596.4","88.67K","0.35%"
"06/23/2022","15,612.3","15,710.5","15,732.8","15,553.4","111.66K","-0.59%"
"06/22/2022","15,704.9","15,592.6","15,769.2","15,550.2","84.24K","0.75%"
"06/21/2022","15,587.5","15,589.7","15,676.3","15,548.8","83.68K","0.02%"
"06/20/2022","15,584.8","15,522.7","15,643.4","15,522.7","77.09K","0.17%"
"06/17/2022","15,559.1","15,577.7","15,635.8","15,481.9","85.77K","-0.10%"
"06/16/2022","15,574.1","15,397.8","15,656.0","15,326.3","139.13K","1.19%"
"06/15/2022","15,391.5","15,308.9","15,492.2","15,271.0","105.03K","0.57%"
"06/14/2022","15,304.8","15,282.4","15,411.6","15,262.6","87.07K","0.21%"
"06/13/2022","15,272.5","15,299.8","15,410.4","15,243.7","75.67K","-0.18%"
"06/10/2022","15,299.3","15,461.0","15,510.5","15,288.1","70.17K","-1.00%"
"06/09/2022","15,454.0","15,530.9","15,690.4","15,451.5","80.14K","-0.45%"
"06/08/2022","15,524.6","15,468.5","15,578.0","15,443.9","57.57K","0.39%"
"06/07/2022","15,464.3","15,455.9","15,490.1","15,398.3","62.35K","0.07%"
"06/06/2022","15,452.8","15,479.9","15,539.0","15,439.3","61.34K","-0.13%"
"06/03/2022","15,472.9","15,562.9","15,588.2","15,453.9","37.08K","-0.56%"
"06/02/2022","15,560.2","15,525.8","15,570.1","15,436.7","53.01K","0.23%"
"06/01/2022","15,524.8","15,651.3","15,658.5","15,494.5","57.34K","-0.79%"
"05/31/2022","15,648.7","15,691.9","15,700.3","15,570.3","72.40K","-0.25%"
"05/30/2022","15,688.1","15,650.6","15,705.0","15,603.6","54.90K","0.34%"
"05/27/2022","15,634.6","15,694.8","15,752.6","15,592.3","64.76K","-0.35%"
"05/26/2022","15,689.2","15,633.4","15,704.3","15,601.2","64.32K","0.41%"
"05/25/2022","15,624.8","15,737.8","15,741.4","15,571.9","73.65K","-0.67%"
"05/24/2022","15,730.7","15,687.4","15,756.1","15,615.2","68.81K","0.32%"
"05/23/2022","15,680.8","15,490.1","15,698.4","15,469.6","72.36K","1.36%"
"05/20/2022","15,470.4","15,598.8","15,599.5","15,432.2","79.47K","-0.80%"
"05/19/2022","15,594.7","15,377.8","15,628.2","15,363.9","79.13K","1.47%"
"05/18/2022","15,369.3","15,451.7","15,484.3","15,362.4","79.68K","-0.50%"
"05/17/2022","15,446.1","15,246.7","15,461.9","15,238.7","77.15K","1.35%"
"05/16/2022","15,239.7","15,204.3","15,260.6","15,180.2","63.92K","0.19%"
"05/13/2022","15,210.5","15,150.2","15,232.3","15,123.2","75.78K","0.41%"
"05/12/2022","15,148.2","15,302.8","15,351.7","15,113.0","103.73K","-0.98%"
"05/11/2022","15,298.8","15,327.1","15,398.2","15,287.6","108.00K","-0.15%"
"05/10/2022","15,322.0","15,368.4","15,403.4","15,321.2","71.71K","-0.27%"
"05/09/2022","15,362.8","15,296.5","15,421.5","15,241.4","67.07K","0.45%"
"05/06/2022","15,293.7","15,285.6","15,367.5","15,195.8","84.53K","0.10%"
"05/05/2022","15,277.7","15,399.4","15,428.4","15,211.0","85.99K","-0.76%"
"05/04/2022","15,395.1","15,245.0","15,412.5","15,229.8","64.71K","0.96%"
"05/03/2022","15,248.7","15,229.1","15,335.7","15,209.5","68.53K","0.17%"
"05/02/2022","15,222.7","15,294.3","15,321.9","15,207.4","49.74K","-0.37%"
"04/29/2022","15,279.2","15,216.0","15,356.7","15,208.8","87.17K","0.41%"
"04/28/2022","15,216.8","15,225.3","15,320.0","15,179.8","89.23K","-0.02%"
"04/27/2022","15,220.3","15,329.7","15,375.7","15,162.6","89.67K","-0.68%"
"04/26/2022","15,325.0","15,488.3","15,519.4","15,326.8","91.60K","-1.02%"
"04/25/2022","15,482.8","15,565.1","15,609.7","15,464.5","98.91K","-0.08%"
"04/22/2022","15,495.9","15,546.0","15,584.7","15,462.5","74.62K","-0.30%"
"04/21/2022","15,542.1","15,577.7","15,686.4","15,529.3","85.84K","-0.22%"
"04/20/2022","15,576.6","15,470.0","15,601.4","15,463.5","83.91K","0.74%"
"04/19/2022","15,461.7","15,477.4","15,508.7","15,445.1","77.70K","-0.07%"
"04/18/2022","15,472.5","15,498.7","15,530.9","15,458.0","34.78K","-0.17%"
"04/15/2022","15,499.0","15,531.7","15,536.7","15,485.8","39.97K","-0.20%"
"04/14/2022","15,530.6","15,637.0","15,671.7","15,429.8","86.81K","-0.66%"
"04/13/2022","15,633.0","15,550.3","15,649.2","15,523.5","74.91K","0.56%"
"04/12/2022","15,546.1","15,633.1","15,661.6","15,541.7","55.23K","-0.56%"
"04/11/2022","15,633.4","15,704.3","15,728.0","15,618.9","61.16K","0.10%"
"04/08/2022","15,617.9","15,620.6","15,643.3","15,562.1","56.49K","0.00%"
"04/07/2022","15,618.6","15,642.0","15,706.8","15,599.8","63.27K","-0.13%"
"04/06/2022","15,638.3","15,646.3","15,704.4","15,618.3","57.79K","-0.01%"
"04/05/2022","15,640.3","15,751.2","15,765.8","15,637.0","50.53K","-0.67%"
"04/04/2022","15,745.2","15,860.3","15,884.5","15,732.5","70.57K","-0.83%"
"04/01/2022","15,877.6","15,899.3","15,916.5","15,843.8","96.93K","-0.13%"
"03/31/2022","15,898.2","16,003.9","16,054.3","15,892.8","77.34K","-0.63%"
"03/30/2022","15,999.1","15,925.4","16,023.3","15,912.9","82.42K","0.49%"
"03/29/2022","15,921.4","15,770.0","15,997.9","15,754.9","84.97K","0.98%"
"03/28/2022","15,766.6","15,759.3","15,799.5","15,703.7","58.71K","0.13%"
"03/25/2022","15,746.8","15,779.6","15,836.3","15,745.0","55.30K","-0.16%"
"03/24/2022","15,771.2","15,786.9","15,805.3","15,733.7","54.17K","-0.09%"
"03/23/2022","15,785.2","15,833.8","15,856.0","15,728.8","62.69K","-0.29%"
"03/22/2022","15,831.8","15,799.8","15,858.9","15,737.6","67.35K","0.25%"
"03/21/2022","15,791.9","15,861.7","15,875.1","15,787.6","64.58K","-0.33%"
"03/18/2022","15,844.3","15,862.9","15,906.6","15,779.2","58.96K","-0.08%"
"03/17/2022","15,857.3","15,794.7","15,930.8","15,735.2","76.80K","0.45%"
"03/16/2022","15,786.8","15,700.0","15,811.2","15,668.7","83.33K","0.63%"
"03/15/2022","15,687.3","15,679.8","15,795.1","15,656.2","80.97K","0.07%"
"03/14/2022","15,675.6","15,651.2","15,757.9","15,606.9","69.16K","0.49%"
"03/11/2022","15,599.9","15,685.2","15,795.7","15,591.9","87.21K","-0.50%"
"03/10/2022","15,678.2","15,889.9","15,896.3","15,673.7","88.43K","-1.31%"
"03/09/2022","15,887.1","15,697.6","15,920.0","15,651.8","100.21K","1.26%"
"03/08/2022","15,689.1","15,637.9","15,778.9","15,617.1","99.79K","0.36%"
"03/07/2022","15,632.3","15,758.6","15,758.6","15,568.0","100.11K","-0.54%"
"03/04/2022","15,717.0","15,922.3","15,923.7","15,662.2","83.05K","-1.25%"
"03/03/2022","15,915.6","15,994.9","16,004.3","15,872.6","78.70K","-0.51%"
"03/02/2022","15,997.6","15,952.8","16,036.6","15,907.2","79.41K","0.31%"
"03/01/2022","15,947.7","16,116.9","16,121.9","15,899.0","89.22K","-1.04%"
"02/28/2022","16,116.1","16,060.9","16,158.6","15,979.0","86.09K","-0.43%"
"02/25/2022","16,185.0","16,096.9","16,198.8","16,041.5","79.44K","0.57%"
"02/24/2022","16,092.7","16,220.0","16,224.0","15,973.2","103.55K","-0.73%"
"02/23/2022","16,211.5","16,268.8","16,286.7","16,202.1","64.52K","-0.32%"
"02/22/2022","16,263.8","16,207.3","16,327.7","16,183.0","85.86K","0.38%"
"02/21/2022","16,201.6","16,212.1","16,323.8","16,198.7","51.20K","-0.10%"
"02/18/2022","16,217.3","16,267.5","16,318.0","16,210.7","64.37K","-0.27%"
"02/17/2022","16,261.8","16,217.2","16,302.6","16,171.4","80.39K","0.31%"
"02/16/2022","16,212.2","16,247.6","16,250.5","16,185.8","70.92K","-0.17%"
"02/15/2022","16,239.1","16,200.1","16,260.5","16,146.5","74.55K","0.28%"
"02/14/2022","16,194.4","16,280.3","16,316.9","16,160.7","81.33K","-0.56%"
"02/11/2022","16,285.8","16,390.6","16,395.6","16,259.5","82.55K","-0.61%"
"02/10/2022","16,386.3","16,409.2","16,488.1","16,313.9","84.71K","-0.06%"
"02/09/2022","16,396.3","16,431.2","16,442.7","16,370.4","67.58K","-0.17%"
"02/08/2022","16,424.8","16,473.9","16,483.3","16,397.5","100.16K","-0.28%"
"02/07/2022","16,470.8","16,491.7","16,497.7","16,430.1","75.99K","0.08%"
"02/04/2022","16,457.1","16,446.4","16,514.7","16,409.0","85.92K","0.09%"
"02/03/2022","16,442.1","16,231.2","16,465.1","16,199.1","68.13K","1.34%"
"02/02/2022","16,224.0","16,208.5","16,268.5","16,141.6","48.24K","0.12%"
"02/01/2022","16,204.8","16,156.7","16,222.2","16,137.3","53.47K","0.32%"
"01/31/2022","16,153.0","16,037.0","16,177.6","15,955.8","56.09K","0.77%"
"01/28/2022","16,029.2","16,034.6","16,077.3","15,999.6","62.19K","0.00%"
"01/27/2022","16,029.2","16,132.2","16,167.1","16,013.8","68.44K","-0.59%"
"01/26/2022","16,125.1","16,217.5","16,227.7","16,125.0","62.82K","-0.55%"
"01/25/2022","16,214.1","16,242.2","16,251.4","16,162.3","72.88K","-0.14%"
"01/24/2022","16,237.2","16,263.0","16,267.3","16,192.7","93.77K","-0.12%"
"01/21/2022","16,255.9","16,218.6","16,288.1","16,202.1","70.25K","0.27%"
"01/20/2022","16,212.9","16,290.0","16,324.4","16,205.0","74.27K","-0.45%"
"01/19/2022","16,285.7","16,231.5","16,312.2","16,215.2","88.09K","0.32%"
"01/18/2022","16,234.4","16,334.1","16,360.5","16,221.5","102.35K","-0.58%"
"01/17/2022","16,329.1","16,318.6","16,372.8","16,290.0","60.77K","0.08%"
"01/14/2022","16,316.3","16,374.9","16,440.3","16,295.7","63.92K","-0.31%"
"01/13/2022","16,366.3","16,383.5","16,411.4","16,359.2","59.64K","-0.08%"
"01/12/2022","16,379.2","16,256.2","16,398.6","16,240.6","60.76K","0.78%"
"01/11/2022","16,252.0","16,203.2","16,269.8","16,172.8","58.69K","0.33%"
"01/10/2022","16,199.0","16,300.1","16,312.3","16,145.3","55.50K","-0.66%"
"01/07/2022","16,305.8","16,253.5","16,318.0","16,211.8","44.21K","0.36%"
"01/06/2022","16,247.8","16,244.1","16,310.3","16,230.4","66.67K","0.05%"
"01/05/2022","16,239.8","16,143.2","16,291.5","16,128.2","45.23K","0.63%"
"01/04/2022","16,137.5","16,117.7","16,195.4","16,111.3","47.72K","0.17%"
"01/03/2022","16,109.8","16,198.7","16,220.8","16,091.3","33.97K","-0.55%"
"12/31/2021","16,199.4","16,153.7","16,229.3","16,107.6","25.82K","0.30%"
"12/30/2021","16,150.8","16,176.6","16,191.6","16,119.4","37.98K","-0.12%"
"12/29/2021","16,170.9","16,092.0","16,204.4","16,066.8","42.63K","0.52%"
"12/28/2021","16,087.0","16,114.4","16,133.5","16,061.4","43.51K","-0.15%"
"12/27/2021","16,111.2","16,095.3","16,127.5","16,075.3","38.25K","0.11%"
"12/24/2021","16,092.8","16,143.5","16,147.1","16,058.1","47.19K","-0.29%"
"12/23/2021","16,139.0","16,181.3","16,205.6","16,085.8","58.21K","-0.23%"
"12/22/2021","16,176.3","16,144.8","16,206.3","16,057.8","62.87K","0.17%"
"12/21/2021","16,149.4","16,213.5","16,242.7","16,118.3","74.64K","-0.36%"
"12/20/2021","16,207.8","16,151.9","16,253.0","16,140.5","80.21K","0.40%"
"12/17/2021","16,143.4","16,250.8","16,330.8","16,141.2","64.62K","-0.62%"
"12/16/2021","16,244.3","16,175.7","16,294.5","16,154.5","67.74K","0.45%"
"12/15/2021","16,171.4","16,137.0","16,195.0","16,083.2","101.51K","0.25%"
"12/14/2021","16,131.3","16,184.8","16,233.7","16,128.4","153.78K","-0.30%"
"12/13/2021","16,179.8","16,264.6","16,270.4","16,148.9","75.60K","-0.46%"
"12/10/2021","16,253.9","16,208.3","16,276.9","16,189.9","89.13K","0.31%"
"12/09/2021","16,204.0","16,284.3","16,292.2","16,186.8","81.55K","-0.48%"
"12/08/2021","16,281.4","16,199.1","16,303.7","16,171.1","142.10K","0.53%"
"12/07/2021","16,194.9","16,295.6","16,297.1","16,142.3","156.12K","-0.58%"
"12/06/2021","16,289.9","16,299.4","16,330.3","16,251.9","93.59K","0.03%"
"12/03/2021","16,285.1","16,248.0","16,318.1","16,180.4","79.10K","0.26%"
"12/02/2021","16,242.3","16,235.7","16,316.3","16,227.8","85.62K","0.07%"
"12/01/2021","16,231.5","16,240.3","16,293.8","16,209.9","117.62K","-0.01%"
"11/30/2021","16,233.2","16,173.7","16,304.0","16,092.0","128.54K","0.42%"
"11/29/2021","16,165.8","16,165.4","16,221.5","16,124.3","85.31K","-0.11%"
"11/26/2021","16,183.3","15,991.7","16,206.9","15,986.7","118.46K","1.24%"
"11/25/2021","15,985.4","15,968.4","16,032.0","15,967.7","77.56K","0.16%"
"11/24/2021","15,959.9","16,036.8","16,053.5","15,947.7","82.05K","-0.44%"
"11/23/2021","16,031.2","16,009.9","16,077.4","15,993.7","94.57K","0.18%"
"11/22/2021","16,002.8","16,077.0","16,088.9","15,999.9","130.47K","-0.41%"
"11/19/2021","16,068.5","16,177.5","16,182.3","16,016.5","65.03K","-0.64%"
"11/18/2021","16,172.4","16,121.1","16,183.2","16,099.7","102.51K","0.34%"
"11/17/2021","16,118.3","16,100.2","16,145.9","16,067.4","84.94K","0.14%"
"11/16/2021","16,095.6","16,156.8","16,189.5","16,083.1","76.09K","-0.35%"
"11/15/2021","16,152.5","16,302.5","16,318.2","16,139.0","68.35K","-0.89%"
"11/12/2021","16,296.8","16,336.3","16,337.7","16,274.7","67.78K","-0.19%"
"11/11/2021","16,327.7","16,364.7","16,423.6","16,319.9","52.84K","-0.17%"
"11/10/2021","16,356.2","16,510.6","16,535.3","16,355.5","77.85K","-0.91%"
"11/09/2021","16,505.6","16,523.0","16,534.8","16,469.6","59.16K","-0.07%"
"11/08/2021","16,517.3","16,555.4","16,579.2","16,466.7","68.55K","-0.31%"
"11/05/2021","16,568.3","16,565.5","16,621.2","16,494.5","73.78K","0.04%"
"11/04/2021","16,561.2","16,601.5","16,627.7","16,512.4","82.08K","-0.21%"
"11/03/2021","16,596.5","16,503.0","16,609.4","16,496.6","85.10K","0.60%"
"11/02/2021","16,497.2","16,538.5","16,564.6","16,496.6","76.35K","-0.20%"
"11/01/2021","16,529.9","16,376.2","16,541.3","16,364.9","88.80K","0.94%"
"10/29/2021","16,376.2","16,552.8","16,568.4","16,341.5","66.88K","-1.05%"
"10/28/2021","16,549.1","16,447.9","16,571.9","16,413.9","76.86K","0.65%"
"10/27/2021","16,442.9","16,411.9","16,477.7","16,402.0","58.90K","0.24%"
"10/26/2021","16,404.1","16,432.6","16,454.4","16,395.0","52.53K","-0.15%"
"10/25/2021","16,428.3","16,443.5","16,550.4","16,408.5","64.22K","-0.11%"
"10/22/2021","16,445.6","16,414.6","16,494.4","16,411.1","59.64K","0.22%"
"10/21/2021","16,408.8","16,398.0","16,484.2","16,394.4","62.73K","0.09%"
"10/20/2021","16,393.6","16,374.7","16,411.3","16,350.8","58.84K","0.15%"
"10/19/2021","16,369.7","16,383.1","16,426.1","16,356.4","54.78K","-0.03%"
"10/18/2021","16,374.5","16,321.6","16,400.8","16,272.4","80.45K","0.34%"
"10/15/2021","16,318.4","16,374.9","16,379.8","16,304.4","77.83K","-0.28%"
"10/14/2021","16,364.9","16,482.3","16,494.4","16,353.0","47.68K","-0.69%"
"10/13/2021","16,478.0","16,389.9","16,489.5","16,388.5","82.05K","0.56%"
"10/12/2021","16,385.6","16,416.8","16,453.4","16,384.2","49.43K","-0.14%"
"10/11/2021","16,408.2","16,466.8","16,473.9","16,407.5","61.92K","-0.24%"
"10/08/2021","16,448.3","16,421.5","16,477.5","16,402.4","55.91K","0.18%"
"10/07/2021","16,418.3","16,470.2","16,481.0","16,416.5","59.01K","-0.30%"
"10/06/2021","16,467.3","16,537.8","16,540.6","16,431.0","68.71K","-0.33%"
"10/05/2021","16,522.0","16,582.0","16,582.7","16,505.0","68.13K","-0.33%"
"10/04/2021","16,575.9","16,586.0","16,646.1","16,538.8","52.51K","-0.06%"
"10/01/2021","16,585.2","16,576.7","16,608.1","16,548.8","51.67K","0.08%"
"09/30/2021","16,572.4","16,573.6","16,635.7","16,548.1","73.53K","0.02%"
"09/29/2021","16,569.3","16,674.6","16,746.0","16,563.6","66.72K","-0.60%"
"09/28/2021","16,668.8","16,669.7","16,703.8","16,652.4","74.47K","0.04%"
"09/27/2021","16,662.5","16,715.5","16,731.6","16,653.3","60.31K","-0.21%"
"09/24/2021","16,698.3","16,717.8","16,751.7","16,681.3","75.34K","-0.08%"
"09/23/2021","16,712.1","16,643.8","16,735.7","16,638.7","71.07K","0.43%"
"09/22/2021","16,640.9","16,694.9","16,744.2","16,640.2","74.19K","-0.28%"
"09/21/2021","16,687.7","16,700.8","16,739.8","16,678.5","67.96K","-0.05%"
"09/20/2021","16,696.4","16,691.7","16,741.4","16,663.0","69.09K","0.11%"
"09/17/2021","16,678.8","16,763.8","16,801.2","16,679.6","66.38K","-0.51%"
"09/16/2021","16,763.7","16,828.9","16,836.8","16,747.4","91.50K","-0.36%"
"09/15/2021","16,824.6","16,820.6","16,853.9","16,805.6","67.13K","0.08%"
"09/14/2021","16,811.9","16,835.1","16,878.3","16,811.3","69.29K","-0.09%"
"09/13/2021","16,826.4","16,778.1","16,843.6","16,761.1","52.01K","0.30%"
"09/10/2021","16,775.9","16,855.0","16,881.6","16,771.0","66.86K","-0.44%"
"09/09/2021","16,850.6","16,842.2","16,886.9","16,824.4","60.92K","0.10%"
"09/08/2021","16,833.5","16,829.0","16,905.8","16,820.1","79.62K","0.07%"
"09/07/2021","16,821.8","16,882.1","16,904.2","16,823.3","72.75K","-0.32%"
"09/06/2021","16,876.3","16,942.4","16,954.6","16,852.5","49.98K","-0.40%"
"09/03/2021","16,943.7","16,947.9","16,985.9","16,923.2","84.94K","0.01%"
"09/02/2021","16,942.8","16,911.9","16,951.4","16,880.3","62.74K","0.23%"
"09/01/2021","16,904.7","16,849.9","16,935.5","16,822.3","76.15K","0.37%"
"08/31/2021","16,842.7","16,952.3","16,966.7","16,829.9","73.14K","-0.62%"
"08/30/2021","16,947.1","17,002.6","17,030.1","16,931.4","53.03K","-0.31%"
"08/27/2021","16,999.6","16,943.4","17,017.0","16,918.2","96.47K","0.37%"
"08/26/2021","16,937.6","16,948.0","16,989.1","16,933.6","76.45K","-0.03%"
"08/25/2021","16,942.9","16,916.9","16,953.8","16,879.5","77.25K","0.18%"
"08/24/2021","16,912.6","16,928.9","16,933.7","16,871.4","48.08K","-0.05%"
"08/23/2021","16,921.7","16,900.8","16,936.5","16,873.9","56.04K","0.12%"
"08/20/2021","16,900.7","16,814.9","16,924.9","16,814.2","60.46K","0.54%"
"08/19/2021","16,810.6","16,831.6","16,859.8","16,792.1","77.42K","-0.10%"
"08/18/2021","16,827.3","16,829.6","16,877.6","16,806.5","71.19K","0.01%"
"08/17/2021","16,825.8","16,924.5","16,938.1","16,826.0","66.42K","-0.58%"
